generation,n_feasible,feasible_fraction,mean_max_violation,median_max_violation,f0_mean,f1_mean,n_pareto
1,45,0.703125,0.13972205667745657,0.0,0.0,2456.7492585081004,1
2,64,1.0,0.0,0.0,0.0,543.2345962404961,1
3,64,1.0,0.0,0.0,0.0,380.9796754571022,1
4,64,1.0,0.0,0.0,0.0,290.7607891155018,1
5,64,1.0,0.0,0.0,0.0,223.93145105596895,1
6,64,1.0,0.0,0.0,0.0,183.71754908947057,1
7,64,1.0,0.0,0.0,0.0,139.89228328661181,1
8,64,1.0,0.0,0.0,0.0,104.89605539020249,1
9,64,1.0,0.0,0.0,0.0,75.23508934887874,1
10,64,1.0,0.0,0.0,0.0,62.84833269893804,1
11,64,1.0,0.0,0.0,0.0,54.3742965808474,1
12,64,1.0,0.0,0.0,0.0,49.506660257541526,1
13,64,1.0,0.0,0.0,0.0,44.52892653524317,1
14,64,1.0,0.0,0.0,0.0,38.70892614995684,1
15,64,1.0,0.0,0.0,0.0,35.09822785924847,1
16,64,1.0,0.0,0.0,0.0,31.639863937489853,1
17,64,1.0,0.0,0.0,0.0,27.941974632686865,1
18,64,1.0,0.0,0.0,0.0,24.829562027717756,1
19,64,1.0,0.0,0.0,0.0,21.727377055973594,1
20,64,1.0,0.0,0.0,0.0,19.213433855031866,1
21,64,1.0,0.0,0.0,0.0,17.349944450354432,1
22,64,1.0,0.0,0.0,0.0,15.543018469337891,1
23,64,1.0,0.0,0.0,0.0,13.91544715137622,1
24,64,1.0,0.0,0.0,0.0,11.679722996937945,1
25,64,1.0,0.0,0.0,0.0,8.81601774338344,1
26,64,1.0,0.0,0.0,0.0,6.512841924918495,1
27,64,1.0,0.0,0.0,0.0,5.154870919343949,1
28,64,1.0,0.0,0.0,0.0,4.157575721763719,1
29,64,1.0,0.0,0.0,0.0,3.300252227682302,1
30,64,1.0,0.0,0.0,0.0,2.8861813383458275,1
31,64,1.0,0.0,0.0,0.0,2.6385226512204865,1
32,64,1.0,0.0,0.0,0.0,2.4728212967337946,1
33,64,1.0,0.0,0.0,0.0,2.231244827306692,1
34,64,1.0,0.0,0.0,0.0,1.9291608454374258,1
35,64,1.0,0.0,0.0,0.0,1.8203442070842257,1
36,64,1.0,0.0,0.0,0.0,1.7476946044201171,1
37,64,1.0,0.0,0.0,0.0,1.7222986938972777,1
38,64,1.0,0.0,0.0,0.0,1.7000630015494402,1
39,64,1.0,0.0,0.0,0.0,1.683901080647674,1
40,64,1.0,0.0,0.0,0.0,1.676637528948257,1
41,64,1.0,0.0,0.0,0.0,1.6711065904806772,1
42,64,1.0,0.0,0.0,0.0,1.6661850952378376,1
43,64,1.0,0.0,0.0,0.0,1.661504790487709,1
44,64,1.0,0.0,0.0,0.0,1.6554807409298733,1
45,64,1.0,0.0,0.0,0.0,1.6504872574990224,1
46,64,1.0,0.0,0.0,0.0,1.6451183530799485,1
47,64,1.0,0.0,0.0,0.0,1.642963550351185,1
48,64,1.0,0.0,0.0,0.0,1.6409314924875495,1
49,64,1.0,0.0,0.0,0.0,1.6392642695443478,1
50,64,1.0,0.0,0.0,0.0,1.6378053627642704,1
