idx,f0_neg_eff,f1_loss,feasible
0,-0.3439143300408209,13.031716752460332,1
1,-0.3447967346784224,36.16761261965321,1
2,-0.32378434641335896,7.943390281176329,1
3,-0.3448270193791399,47.46984497483566,1
4,-0.3248615528190869,8.069276952680076,1
5,-0.2219464519851091,7.597898380864057,1
6,-0.3447189272229915,22.20865176923308,1
7,-0.34452422526485926,15.162692995799942,1
8,-0.3376234230784027,8.819132099343674,1
9,-0.3448158201680806,40.575769414946805,1
10,-0.2196322094608576,7.512207173275419,1
11,-0.34482800895474136,54.199142047823976,1
12,-0.2705210380739611,7.758058384629102,1
13,-0.34483156862315256,71.51713696508715,1
14,-0.33874706649188524,12.241234439160811,1
15,-0.2304060097064407,7.699495030118725,1
